Name,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,date_num,date
ID20230117235328391000,1,5,0.00868055555569,26.4190006256,28.7049999237,2.2859992981,27.6672000885,0.857975095469,138.336000443,20140812,2014-08-12
ID20230117235328391000,1,5,0.00868055555569,20.7989997864,22.9099998474,2.11100006104,21.8805995941,0.822540718908,109.402997971,20140813,2014-08-13
ID20230117235328391000,1,5,0.00868055555569,18.1040000916,19.9610004425,1.85700035095,19.2918003082,0.639386872654,96.4590015411,20140814,2014-08-14
ID20230117235328391000,1,5,0.00868055555569,17.4810009003,19.2199993134,1.73899841309,18.6040000916,0.602115382729,93.0200004578,20140815,2014-08-15
ID20230117235328391000,1,5,0.00868055555569,18.2310009003,19.8819999695,1.65099906921,19.1660003662,0.619844183764,95.8300018311,20140816,2014-08-16
ID20230117235328391000,1,5,0.00868055555569,20.2439994812,22.3819999695,2.13800048828,21.4450000763,0.746244517972,107.225000381,20140817,2014-08-17
ID20230117235328391000,1,5,0.00868055555569,22.4330005646,24.6909999847,2.25799942017,23.6534000397,0.88488850669,118.267000198,20140818,2014-08-18
ID20230117235328391000,1,5,0.00868055555569,24.3229999542,26.6620006561,2.3390007019,25.6338001251,0.859146602176,128.169000626,20140819,2014-08-19
ID20230117235328391000,1,5,0.00868055555569,22.0720005035,24.5659999847,2.4939994812,23.4034000397,0.916577559587,117.017000198,20140820,2014-08-20
ID20230117235328391000,1,5,0.00868055555569,17.922000885,20.138999939,2.21699905396,19.1464000702,0.790414913932,95.732000351,20140821,2014-08-21
ID20230117235328391000,1,5,0.00868055555569,17.9270000458,19.908000946,1.98100090027,19.0384002686,0.722501178651,95.1920013428,20140822,2014-08-22
ID20230117235328391000,1,5,0.00868055555569,11.9580001831,14.2060003281,2.24800014496,13.2069999695,0.821746351315,66.0349998474,20140823,2014-08-23
ID20230117235328391000,1,5,0.00868055555569,11.7559995651,13.8640003204,2.10800075531,12.7947999954,0.859735344559,63.9739999771,20140824,2014-08-24
ID20230117235328391000,1,5,0.00868055555569,14.6560001373,16.6669998169,2.01099967957,15.7878002167,0.75376500161,78.9390010834,20140825,2014-08-25
ID20230117235328391000,1,5,0.00868055555569,14.8100004196,17.1949996948,2.38499927521,16.1813999176,0.82692292513,80.906999588,20140826,2014-08-26
ID20230117235328391000,1,5,0.00868055555569,19.2539997101,21.4729995728,2.21899986267,20.492999649,0.793852995663,102.464998245,20140827,2014-08-27
ID20230117235328391000,1,5,0.00868055555569,21.704000473,23.861000061,2.15699958801,22.9378005981,0.760476441026,114.689002991,20140828,2014-08-28
ID20230117235328391000,1,5,0.00868055555569,22.4599990845,24.9009990692,2.44099998474,23.8185997009,0.885573302372,119.092998505,20140829,2014-08-29
